episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-59.53448760004578,-76.41941947604148,-66.96602550343769,100.0,50,5000,False,5000,50,1,bd27381577654903b0f48e9d135fa7eb,2020-03-31_16-32-45,1585668765,16.986503839492798,16.986503839492798,13940,eclipse,137.195.211.213,16.986503839492798,5000,1,25,cd9a593e,9.121347019328407,0.9170243751943409,1.5153459292739182,4992,5000,9451.97,74.466,6687.453,656.584,0.20000000298023224,4.999999873689376e-05,383.4112548828125,-0.0307620856910944,383.4373779296875,0.0011341571807861328,0.023150386288762093,5.693967819213867,0.0
-13.976938773499096,-78.17828132632413,-65.74140519825212,100.0,50,5000,False,10000,100,2,bd27381577654903b0f48e9d135fa7eb,2020-03-31_16-32-54,1585668774,8.920598030090332,25.90710186958313,13940,eclipse,137.195.211.213,25.90710186958313,10000,2,25,cd9a593e,9.318705942182303,0.9246107946295468,1.4654288620447766,9984,10000,6019.755,40.061,6464.008,337.775,0.30000001192092896,4.999999873689376e-05,197.28334045410156,-0.024320265278220177,197.30296325683594,0.01599615253508091,0.01564258523285389,5.697765827178955,0.0
16.5941364434029,-84.71676571825284,-64.57266138724962,100.0,50,5000,False,15000,150,3,bd27381577654903b0f48e9d135fa7eb,2020-03-31_16-33-03,1585668783,8.918728351593018,34.82583022117615,13940,eclipse,137.195.211.213,34.82583022117615,15000,3,25,cd9a593e,9.57718838580955,0.9387463898008416,1.397511533930869,14976,15000,4869.772,28.891,6401.536,229.858,0.30000001192092896,4.999999873689376e-05,178.64035034179688,-0.02889716625213623,178.66397094726562,0.14016768336296082,0.01750989817082882,5.699265956878662,0.0
16.5941364434029,-84.71676571825284,-65.12381515591568,100.0,50,5000,False,20000,200,4,bd27381577654903b0f48e9d135fa7eb,2020-03-31_16-33-12,1585668792,8.914672374725342,43.74050259590149,13940,eclipse,137.195.211.213,43.74050259590149,20000,4,25,cd9a593e,9.662362460132492,0.9477570700351905,1.3740129104887608,19968,20000,4281.268,22.641,6376.758,177.872,0.30000001192092896,4.999999873689376e-05,74.4712142944336,-0.02538445219397545,74.49202728271484,0.5053917169570923,0.01526113785803318,5.649686813354492,0.0
-42.97313721928728,-77.54271793899109,-65.61540238950063,100.0,50,5000,False,25000,250,5,bd27381577654903b0f48e9d135fa7eb,2020-03-31_16-33-21,1585668801,8.874037027359009,52.6145396232605,13940,eclipse,137.195.211.213,52.6145396232605,25000,5,25,cd9a593e,9.695565580224631,0.9508920589536564,1.363977000726375,24960,25000,3938.916,19.537,6348.207,145.351,0.30000001192092896,4.999999873689376e-05,57.120361328125,-0.027335748076438904,57.14297103881836,0.6289915442466736,0.015760550275444984,5.6759114265441895,0.0
-42.97313721928728,-82.11729447817083,-65.27412904642705,100.0,50,5000,False,30000,300,6,bd27381577654903b0f48e9d135fa7eb,2020-03-31_16-33-30,1585668810,9.0055992603302,61.6201388835907,13940,eclipse,137.195.211.213,61.6201388835907,30000,6,25,cd9a593e,9.710558966372593,0.9519430633158048,1.3549631131809485,29952,30000,3724.17,17.443,6337.877,124.038,0.30000001192092896,4.999999873689376e-05,43.33788299560547,-0.024929948151111603,43.35970687866211,0.700987696647644,0.010336620733141899,5.667507648468018,0.0
-39.32156232981364,-82.11729447817083,-64.55020731696723,100.0,50,5000,False,35000,350,7,bd27381577654903b0f48e9d135fa7eb,2020-03-31_16-33-39,1585668819,8.918445587158203,70.5385844707489,13940,eclipse,137.195.211.213,70.5385844707489,35000,7,25,cd9a593e,9.715464063884133,0.9533711730819577,1.3480428671389673,34944,35000,3553.386,15.926,6332.98,108.052,0.30000001192092896,4.999999873689376e-05,43.248992919921875,-0.024784225970506668,43.27033996582031,0.7035190463066101,0.011442559771239758,5.640621662139893,0.0
-39.32156232981364,-78.99531328145842,-64.4166552764944,100.0,50,5000,False,40000,400,8,bd27381577654903b0f48e9d135fa7eb,2020-03-31_16-33-48,1585668828,8.923643827438354,79.46222829818726,13940,eclipse,137.195.211.213,79.46222829818726,40000,8,25,cd9a593e,9.716776498209667,0.9546035594130723,1.3441245323021604,39936,40000,3426.211,14.637,6327.961,97.136,0.30000001192092896,4.999999873689376e-05,43.284358978271484,-0.022795995697379112,43.303470611572266,0.7009778022766113,0.012277239002287388,5.647069454193115,0.0
-45.394647105901804,-78.99531328145842,-63.6481580491924,100.0,50,5000,False,45000,450,9,bd27381577654903b0f48e9d135fa7eb,2020-03-31_16-33-56,1585668836,8.769533157348633,88.23176145553589,13940,eclipse,137.195.211.213,88.23176145553589,45000,9,25,cd9a593e,9.719897904904526,0.9545932967483646,1.3411200555983753,44928,45000,3323.083,13.61,6312.118,88.202,0.30000001192092896,4.999999873689376e-05,33.31700134277344,-0.023197365924715996,33.33683395385742,0.7554570436477661,0.01123274490237236,5.657676696777344,0.0
-54.703157158766004,-77.23351575289668,-62.490291451508604,100.0,50,5000,False,50000,500,10,bd27381577654903b0f48e9d135fa7eb,2020-03-31_16-34-05,1585668845,8.768463850021362,97.00022530555725,13940,eclipse,137.195.211.213,97.00022530555725,50000,10,25,cd9a593e,9.724390278444666,0.9541753806140066,1.3393173180722573,49920,50000,3240.94,12.932,6299.377,81.214,0.30000001192092896,4.999999873689376e-05,26.89437484741211,-0.02558910846710205,26.916109085083008,0.8076046109199524,0.012837252579629421,5.620398044586182,0.0
