episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,custom_metrics/success_rate_mean,custom_metrics/success_rate_min,custom_metrics/success_rate_max,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-33.76604190245384,-79.50021296018515,-67.56893349759154,100.0,56,5600,False,5600,56,1,3774c37c61b74d849363493191f0c797,2020-03-21_14-33-35,1584801215,20.347742080688477,20.347742080688477,18909,eclipse,137.195.211.213,20.347742080688477,5600,1,28,dfc72790,0.0,0.0,0.0,9.655212288472189,0.9340415546550087,1.4942334997967446,5504,5600,11687.44,85.044,7702.63,735.464,0.20000000298023224,4.999999873689376e-05,394.0043640136719,-0.021945534273982048,394.0233459472656,0.008410807698965073,0.014498854987323284,5.669654369354248,0.0
-33.76604190245384,-79.50021296018515,-66.89303316404578,100.0,56,5600,False,11200,112,2,3774c37c61b74d849363493191f0c797,2020-03-21_14-33-45,1584801225,10.08677363395691,30.434515714645386,18909,eclipse,137.195.211.213,30.434515714645386,11200,2,28,dfc72790,0.0,0.0,0.0,9.824763933817543,0.9535434251653874,1.493437229877823,11008,11200,7173.758,45.855,7518.745,375.43,0.20000000298023224,4.999999873689376e-05,179.20126342773438,-0.030660253018140793,179.22706604003906,0.004139292985200882,0.024274032562971115,5.652891159057617,0.0
-35.488851127164786,-80.75305755138234,-66.86478655426595,100.0,56,5600,False,16800,168,3,3774c37c61b74d849363493191f0c797,2020-03-21_14-33-55,1584801235,9.949166536331177,40.38368225097656,18909,eclipse,137.195.211.213,40.38368225097656,16800,3,28,dfc72790,0.0,0.0,0.0,9.982646984602725,0.9742535699792466,1.488314369760693,16512,16800,5662.914,31.857,7417.684,257.199,0.30000001192092896,4.999999873689376e-05,119.13302612304688,-0.019707011058926582,119.14934539794922,0.25514277815818787,0.011302906088531017,5.647586345672607,0.0
-47.51930859982666,-83.00850897682884,-67.52219566983737,100.0,56,5600,False,22400,224,4,3774c37c61b74d849363493191f0c797,2020-03-21_14-34-05,1584801245,10.037359237670898,50.42104148864746,18909,eclipse,137.195.211.213,50.42104148864746,22400,4,28,dfc72790,0.0,0.0,0.0,10.034786913616363,0.9804282333358272,1.4822840106651927,22016,22400,4912.234,25.277,7384.897,197.993,0.30000001192092896,4.999999873689376e-05,71.9066390991211,-0.023620525375008583,71.92591857910156,0.5596502423286438,0.014477916993200779,5.615176200866699,0.0
-32.8285662166908,-81.32319915220765,-67.38282677501367,100.0,56,5600,False,28000,280,5,3774c37c61b74d849363493191f0c797,2020-03-21_14-34-15,1584801255,10.0303053855896,60.45134687423706,18909,eclipse,137.195.211.213,60.45134687423706,28000,5,28,dfc72790,0.0,0.0,0.0,10.072737767261557,0.9827892591493209,1.4797059525761367,27520,28000,4468.018,21.394,7354.591,162.16,0.30000001192092896,4.999999873689376e-05,61.75670623779297,-0.02448395825922489,61.77751922607422,0.6095780730247498,0.012203194200992584,5.591254711151123,0.0
-32.8285662166908,-79.35393788513521,-66.97714027976143,100.0,56,5600,False,33600,336,6,3774c37c61b74d849363493191f0c797,2020-03-21_14-34-25,1584801265,10.030363321304321,70.48171019554138,18909,eclipse,137.195.211.213,70.48171019554138,33600,6,28,dfc72790,0.0,0.0,0.0,10.091069969586906,0.9859462868295807,1.4794524094378292,33024,33600,4166.738,18.711,7342.266,138.991,0.30000001192092896,4.999999873689376e-05,56.67835235595703,-0.021626438945531845,56.69682693481445,0.6399867534637451,0.010473891161382198,5.56920051574707,0.0
-45.95565070713129,-119.64804481083388,-66.91946128814358,100.0,56,5600,False,39200,392,7,3774c37c61b74d849363493191f0c797,2020-03-21_14-34-36,1584801276,10.09881854057312,80.5805287361145,18909,eclipse,137.195.211.213,80.5805287361145,39200,7,28,dfc72790,0.0,0.0,0.0,10.101366720524515,0.9871061715357395,1.4778169528500333,38528,39200,3958.528,16.879,7332.482,122.322,0.30000001192092896,4.999999873689376e-05,75.6615982055664,-0.025322694331407547,75.68334197998047,0.5558084845542908,0.011938448995351791,5.54713249206543,0.0
-51.896946459556254,-77.11606053558076,-65.63711865649867,100.0,56,5600,False,44800,448,8,3774c37c61b74d849363493191f0c797,2020-03-21_14-34-46,1584801286,10.082951068878174,90.66347980499268,18909,eclipse,137.195.211.213,90.66347980499268,44800,8,28,dfc72790,0.0,0.0,0.0,10.103313059023819,0.9870487434692388,1.4780326501144072,44032,44800,3799.285,15.494,7326.727,109.685,0.30000001192092896,4.999999873689376e-05,56.397621154785156,-0.019968345761299133,56.41476821899414,0.6181437373161316,0.009424872696399689,5.540566921234131,0.0
-51.896946459556254,-76.80478913885231,-64.47184647867785,100.0,56,5600,False,50400,504,9,3774c37c61b74d849363493191f0c797,2020-03-21_14-34-56,1584801296,10.011306762695312,100.67478656768799,18909,eclipse,137.195.211.213,100.67478656768799,50400,9,28,dfc72790,0.0,0.0,0.0,10.097943232802857,0.987181226759339,1.4782810602438012,49536,50400,3674.341,14.536,7317.79,98.927,0.30000001192092896,4.999999873689376e-05,50.770225524902344,-0.022839751094579697,50.78964614868164,0.6311735510826111,0.011400132440030575,5.532539367675781,0.0
-55.01558422975553,-76.80478913885231,-63.274210257613724,100.0,56,5600,False,56000,560,10,3774c37c61b74d849363493191f0c797,2020-03-21_14-35-06,1584801306,9.983965635299683,110.65875220298767,18909,eclipse,137.195.211.213,110.65875220298767,56000,10,28,dfc72790,0.0,0.0,0.0,10.09467967621981,0.9879314387209966,1.4776651910398744,55040,56000,3569.553,13.354,7314.629,90.415,0.30000001192092896,4.999999873689376e-05,37.82976150512695,-0.02223510481417179,37.84857940673828,0.716727077960968,0.011412112973630428,5.51083517074585,0.0
